"08 Apr 2022, 10:43",Foo Fighters,One By One (Expanded Edition),Times Like These, Rock, Alternative
"08 Apr 2022, 10:19",Foo Fighters,Wasting Light,Walk, Rock, Alternative
"08 Apr 2022, 10:12",Foo Fighters,Wasting Light,These Days, Rock, Alternative
"08 Apr 2022, 10:08",Foo Fighters,One By One (Expanded Edition),Times Like These, Rock, Alternative
"08 Apr 2022, 9:22",Foo Fighters,There Is Nothing Left to Lose,Learn to Fly, Rock, Alternative
"28 Mar 2022, 23:09",Anika Nilles,Pikalar,Mister, Drum and Bass,
"28 Mar 2022, 22:27",Zakk Wylde,Book of Shadows II,Sleeping Dogs, Rock, Metal
"28 Mar 2022, 22:23",Rammstein,"Reise, Reise","Reise, Reise", Metal, Industrial
"28 Mar 2022, 22:19",Tame Impala,Currents,The Less I Know the Better, Psychedelic, Pop
"28 Mar 2022, 22:14",Kenny Wayne Shepherd,Trouble Is...,Blue on Black, Blues, Rock
"28 Mar 2022, 17:35",Joaquín Rodrigo,Rodrigo: Concierto Madrigal For Two Guitars and Orchestra / Tonadilla For Two Guitars,Concierto Madrigal For Two Guitars And Orchestra: Girardilla - Presto, Classical, 20th Century
"28 Mar 2022, 13:50",HIM,And Love Said No...,The Sacrament, Rock, Gothic
"28 Mar 2022, 13:50",Kenny Wayne Shepherd,Trouble Is...,Blue on Black, Blues, Rock
"27 Mar 2022, 14:03",Basel Rajoub,Khameer,Turkish Coffee, Jazz, World
"27 Mar 2022, 13:55",Kenny Wayne Shepherd,Trouble Is...,Blue on Black, Blues, Rock
"27 Mar 2022, 13:50",Basel Rajoub,Khameer,Turkish Coffee, Jazz, World
"10 Mar 2022, 11:46",Zakk Wylde,Book of Shadows II,Sleeping Dogs, Rock, Metal
"10 Mar 2022, 11:42",Rammstein,"Reise, Reise","Reise, Reise", Metal, Industrial
"10 Mar 2022, 11:39",Tame Impala,Currents,The Less I Know the Better, Psychedelic, Pop
"10 Mar 2022, 11:35",Tame Impala,Currents,The Less I Know the Better, Psychedelic, Pop
"10 Mar 2022, 11:27",Justin Timberlake,FutureSex/LoveSounds,What Goes Around.../...Comes Around (Interlude), Pop, R&B
"10 Mar 2022, 11:15",Zakk Wylde,Book of Shadows II,Sleeping Dogs, Rock, Metal
"10 Mar 2022, 11:10",Rammstein,"Reise, Reise","Reise, Reise", Metal, Industrial
"10 Mar 2022, 11:07",Tame Impala,Currents,The Less I Know the Better, Psychedelic, Pop
"10 Mar 2022, 10:59",Justin Timberlake,FutureSex/LoveSounds,What Goes Around.../...Comes Around (Interlude), Pop, R&B
"10 Mar 2022, 10:56","Earth, Wind & Fire","The Best of Earth, Wind & Fire Vol. 1",September, R&B, Funk
"10 Mar 2022, 10:50",Kenny Wayne Shepherd,Trouble Is...,Blue on Black, Blues, Rock
"10 Mar 2022, 10:36",Maroon 5,Songs About Jane,Sunday Morning, Pop, PopRock
"10 Mar 2022, 10:32",Maroon 5,Songs About Jane,Must Get Out, Pop, PopRock
"30 Feb 2022, 20:15",Anika Nilles,Pikalar,Mister, Drum and Bass,
"30 Feb 2022, 20:10",Zakk Wylde,Book of Shadows II,Sleeping Dogs, Rock, Metal
"30 Feb 2022, 20:05",Rammstein,"Reise, Reise","Reise, Reise", Metal, Industrial
"30 Feb 2022, 20:02",Tame Impala,Currents,The Less I Know the Better, Psychedelic, Pop
"30 Feb 2022, 19:54",Justin Timberlake,FutureSex/LoveSounds,What Goes Around.../...Comes Around (Interlude), Pop, R&B
"30 Feb 2022, 18:42",Snarky Puppy,We Like It Here,Lingus, Jazz, Fusion
"30 Feb 2022, 18:36",Massive Attack,Mezzanine,Teardrop, Electronic, TripHop
"30 Feb 2022, 18:33",Massive Attack,Blue Lines (2012 Mix/Master),Unfinished Sympathy, Electronic, TripHop
"30 Feb 2022, 18:28",Massive Attack,Mezzanine,Teardrop, Electronic, TripHop
"30 Feb 2022, 18:27",Snarky Puppy,Empire Central,Portal, Jazz, Fusion
"30 Feb 2022, 15:45",Snarky Puppy,Empire Central,Take It! (feat. Bernard Wright), Jazz, Fusion
"30 Feb 2022, 15:40",Snarky Puppy,Empire Central,Cliroy, Jazz, Fusion
"30 Feb 2022, 15:34",Snarky Puppy,Empire Central,Bet, Jazz, Fusion
"30 Feb 2022, 15:29",Snarky Puppy,Empire Central,East Bay, Jazz, Fusion
"30 Feb 2022, 15:23",Snarky Puppy,Empire Central,Keep It on Your Mind, Jazz, Fusion
"30 Feb 2022, 15:15",Massive Attack,Mezzanine,Teardrop, Electronic, TripHop
"09 Feb 2022, 20:30",Gregg Bissonette,Guitar Gods: The Classic Rock Anthems,Dream On, Jazz, Rock
"09 Feb 2022, 20:25",Iron Maiden,Piece of Mind (2015 Remaster),The Trooper - 2015 remaster, Metal, Heavy Metal
"09 Feb 2022, 20:23",Johann Sebastian Bach,Passions at Easter,"St. Matthew Passion, BWV 244, Pt. 1: No. 27, Rezitativ: Und Ging Hin Ein Wenig (Evangelist - Jesus)", Classical, Baroque
"07 Feb 2022, 20:35",Johann Sebastian Bach,100 Best of Bach,"Concerto for Harpsichord No. 6 in F Major, BWV 1057: III. Allegro Assai", Classical, Baroque
"07 Feb 2022, 20:32",Johann Sebastian Bach,Johann Sebastian Bach: Die Passionen,"Matthäus-Passion, BWV 244 / Pt. 1: No. 11, Er antwortete und sprach", Classical, Baroque
"07 Feb 2022, 20:28",Johann Sebastian Bach,Best of Bach,"Violin Sonata No. 1 in G minor, BWV 1001: 4. Presto", Classical, Baroque
"07 Feb 2022, 20:24",Johann Sebastian Bach,Bach: Cello Suites Nos. 1-3,"Cello Suite No. 1 in G major, BWV 1007: II. Allemande", Classical, Baroque
"07 Feb 2022, 20:23",Johann Sebastian Bach,Bach: Goldberg Variations,"Goldberg Variations, BWV 988, Arr. for Septet by Heribert Breuer: Variatio 11", Classical, Baroque
"07 Feb 2022, 20:20",Johann Sebastian Bach,Bach: Sonatas and Partitas for Solo Violin (Sei Solo á Violino senza Basso accompagnato),"Violin Partita No. 1 in B minor, BWV 1002: VII. Tempo di Borea", Classical, Baroque
"07 Feb 2022, 20:19",Johann Sebastian Bach,Passions at Easter,"St. Matthew Passion, BWV 244, Pt. 2: No. 38, Choral: Mir Hat Die Welt Trüglich Gericht'T (Chor)", Classical, Baroque
"07 Feb 2022, 20:18",Johann Sebastian Bach,Bach: Goldberg Variations,"Goldberg Variations, BWV 988, Arr. for Septet by Heribert Breuer: Variatio 20", Classical, Baroque
"07 Feb 2022, 20:15",Johann Sebastian Bach,Bach: Sonatas and Partitas for Solo Violin (Sei Solo á Violino senza Basso accompagnato),"Violin Partita No. 2 in D minor, BWV 1004: II. Corrente", Classical, Baroque
"07 Feb 2022, 20:14",Johann Sebastian Bach,100 Best of Bach,"Orchestral Suite No. 2 in B minor, BWV 1067: II. Rondeau", Classical, Baroque
"07 Feb 2022, 20:13",Johann Sebastian Bach,Passions at Easter,"St. Matthew Passion, BWV 244, Pt. 1: No. 14, Wo willst du, daß wir dir bereiten das Osterlamm zu essen? (Chor I - Orchester I)", Classical, Baroque
"07 Feb 2022, 20:12",Christian Petzold,Bach 333: Complete Anna Magdalena Books 1 & 2,"Minuet in G Major, BWV Anh. 114 (App. D)", Classical, Baroque
"07 Feb 2022, 20:07",Johann Sebastian Bach,!Bach for Your Evening,"Sonata No. 4 in E minor, BWV 528: II. Andante", Classical, Baroque
"07 Feb 2022, 20:02",Johann Sebastian Bach,Ballads - Bach,"Trio in C minor, BWV 585", Classical, Baroque
"07 Feb 2022, 20:00",Johann Sebastian Bach,"J.S. Bach: O Ewigkeit, du Donnerwort, BWV 60","O Ewigkeit, du Donnerwort, BWV 60: V. Choral. Es ist genug, Herr (Coro)", Classical, Baroque
"07 Feb 2022, 19:59",Johann Sebastian Bach,Johann Sebastian Bach: Die Passionen,"Matthäus-Passion, BWV 244 / Pt. 2: No. 62, Wenn ich einmal soll scheiden", Classical, Baroque
"07 Feb 2022, 19:43",Johann Sebastian Bach,Bach 333: Complete Anna Magdalena Books 1 & 2,"French Suite No. 1 in D minor, BWV 812: 2. Courante", Classical, Baroque
"31 Jan 2022, 18:04",Metallica,Death Magnetic,The Day That Never Comes, Metal, Thrash Metal
"31 Jan 2022, 18:00",Metallica,Death Magnetic,The Unforgiven III, Metal, Thrash Metal
